flight_number,call_sign,status,airline_name,airline_iata,airline_icao,aircraft_reg,aircraft_model,departure_airport_name,departure_airport_iata,departure_airport_icao,departure_timezone,departure_datetime,departure_datetime_revised,arrival_airport_name,arrival_airport_iata,arrival_airport_icao,arrival_timezone,arrival_datetime,arrival_datetime_revised
U2 8824,,Departed,easyJet,U2,EZY,,Airbus A320,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 19:45:00,2025-05-04 19:45:00,London,LGW,EGKK,Europe/London,2025-05-04 22:25:00,2025-05-04 22:25:00
DY 1043,NOZ4YA,Departed,Norwegian Air Shuttle,DY,NOZ,LN-ENO,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 19:50:00,2025-05-04 19:50:00,Oslo,OSL,ENGM,Europe/Oslo,2025-05-04 21:55:00,2025-05-04 21:40:00
AWH 32Z,AWH32Z,Departed,AWH,,,D-CAWN,Cessna 680A Citation Latitude,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 20:06:00,2025-05-04 20:06:00,Hanover,HAJ,EDDV,Europe/Berlin,2025-05-04 21:15:00,2025-05-04 21:15:00
D8 3565,NSZ3565,Departed,Norwegian Air Sweden,D8,NSZ,LN-NIQ,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 20:40:00,2025-05-04 20:40:00,Copenhagen,CPH,EKCH,Europe/Copenhagen,2025-05-04 22:10:00,2025-05-04 21:51:00
FR 1902,RYR1VA,Departed,Ryanair,FR,RYR,9H-VUU,Boeing 737-800,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 20:40:00,2025-05-04 20:40:00,Dublin,DUB,EIDW,Europe/Dublin,2025-05-04 23:40:00,2025-05-04 23:40:00
FR 82,RYR81NE,Arrived,Ryanair,FR,RYR,SP-RSH,Boeing 737-800,Roma,CIA,LIRA,Europe/Rome,2025-05-03 19:15:00,2025-05-03 19:30:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-03 21:10:00,2025-05-04 21:22:00
FR 3046,RYR397V,Arrived,Ryanair,FR,RYR,9H-QCM,Boeing 737-800,Pescara,PSR,LIBP,Europe/Rome,2025-05-03 17:45:00,,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-03 19:35:00,2025-05-04 21:44:00
W6 2068,WZZ8GY,Arrived,Wizz Air,W6,WZZ,9H-WNJ,Airbus A320,Milan,MXP,LIMC,Europe/Rome,2025-05-03 20:00:00,2025-05-03 20:28:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-03 21:55:00,2025-05-04 21:49:00
FR 6311,RYR559C,Arrived,Ryanair,FR,RYR,SP-RZK,Boeing 737,Torp,TRF,ENTO,Europe/Oslo,2025-05-02 20:25:00,,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-02 22:30:00,2025-05-04 21:57:00
W6 2010,WZZ496,Arrived,Wizz Air,W6,WZZ,9H-WDT,Airbus A320,London,LGW,EGKK,Europe/London,2025-05-04 19:25:00,2025-05-04 20:06:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 21:50:00,2025-05-04 22:00:00
W6 2010,WZZ496,Arrived,Wizz Air,W6,WZZ,9H-WDT,Airbus A320,London,LGW,EGKK,Europe/London,2025-05-04 19:25:00,2025-05-04 20:06:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 21:50:00,2025-05-04 22:00:00
FR 3535,RYR73YA,Arrived,Ryanair,FR,RYR,SP-RZI,Boeing 737,Bergamo,BGY,LIME,Europe/Rome,2025-05-04 20:20:00,2025-05-04 21:12:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 22:05:00,2025-05-04 22:23:00
FR 2723,,Arrived,Ryanair,FR,RYR,,Boeing 737,Bari,BRI,LIBD,Europe/Rome,2025-05-04 20:35:00,,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 22:25:00,2025-05-04 22:59:00
W6 2074,WZZ40,Arrived,Wizz Air,W6,WZZ,9H-WNJ,Airbus A320,Málaga,AGP,LEMG,Europe/Madrid,2025-05-04 18:15:00,2025-05-04 20:00:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 21:55:00,2025-05-04 23:09:00
FR 4024,RYR59RP,Arrived,Ryanair,FR,RYR,SP-RZH,Boeing 737,Lisbon,LIS,LPPT,Europe/Lisbon,2025-05-03 19:20:00,2025-05-03 20:11:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-03 23:00:00,2025-05-04 23:28:00
FR 5144,RYR8MW,Arrived,Ryanair,FR,RYR,SP-RZP,Boeing 737,Lamezia Terme,SUF,LICA,Europe/Rome,2025-05-03 20:50:00,,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-03 22:55:00,2025-05-04 23:52:00
RR 7230,RYS7230,Arrived,Buzz (Ryanair Sun),RR,RYS,SP-RNK,Boeing 737-800,Palma De Mallorca,PMI,LEPA,Europe/Madrid,2025-05-04 01:30:00,2025-05-04 01:36:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 04:20:00,2025-05-05 04:37:00
EW 9732,EWG3EC,Arrived,Eurowings,EW,EWG,D-ABZE,Airbus A320,Düsseldorf,DUS,EDDL,Europe/Berlin,2025-05-04 05:15:00,2025-05-04 05:16:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 07:00:00,2025-05-05 06:46:00
FR 1724,RYR76UU,Arrived,Ryanair,FR,RYR,9H-VUC,Boeing 737,Nottingham,EMA,EGNX,Europe/London,2025-05-04 04:45:00,2025-05-04 04:42:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 07:10:00,2025-05-05 06:56:00
LO 10,LOT1TE,Arrived,LOT - Polish,LO,LOT,SP-LRB,Boeing 787-8,Chicago,ORD,KORD,America/Chicago,2025-05-03 22:10:00,2025-05-03 22:38:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 07:30:00,2025-05-05 07:04:00
FR 5516,RYR7XB,Arrived,Ryanair,FR,RYR,EI-IJE,Boeing 737-800,Bristol,BRS,EGGD,Europe/London,2025-05-04 04:55:00,2025-05-04 05:01:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 07:25:00,2025-05-05 07:09:00
DY 1036,NOZ36A,Arrived,Norwegian Air Shuttle,DY,NOZ,LN-NIP,Boeing 737-800,Stavanger,SVG,ENZV,Europe/Oslo,2025-05-04 05:20:00,2025-05-04 05:20:00,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 07:25:00,2025-05-05 07:17:00
SPMKD,SPMKD,Arrived,Unknown/Private owner,,,SP-MKD,Diamond DA40,,,,,,,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-05 07:18:00,2025-05-05 07:18:00
FR 2381,RYR21WU,Arrived,Ryanair,FR,RYR,SP-RZH,Boeing 737 MAX 8,Perugia,PEG,LIRZ,Europe/Rome,2025-05-04 06:05:00,,Kraków,KRK,EPKK,Europe/Warsaw,2025-05-04 07:55:00,2025-05-05 07:39:00
